order_id_x,product_id,quantity,unit_price,order_date,product_name,category,order_id_y,reason,refund_amount,is_returned,mismatch,revenue
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3073,lỗi sản phẩm,100000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3066,khác,150000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3095,méo mó,100000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3079,lỗi sản phẩm,200000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3004,hỏng,150.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3119,khác,200000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3017,khác,150000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3019,lỗi sản phẩm,100000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3088,khác,200000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3055,hỏng,150000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3091,méo mó,200000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3106,hỏng,150.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3010,méo mó,150000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3103,khác,150000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3079,hỏng,0.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3063,hỏng,200000.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3039,khác,150.0,True,True,1050000.0
OD3000,PR04,3,350000.0,2024-01-14,chuot khong day,gia dụng,OD3059,lỗi sản phẩm,150.0,True,True,1050000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3040,hỏng,150.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3026,khác,100000.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3097,lỗi sản phẩm,150.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3067,hỏng,100000.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3055,méo mó,0.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3038,khác,150.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3036,méo mó,0.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3029,hỏng,100000.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3010,hỏng,100000.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3114,hỏng,200000.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3106,lỗi sản phẩm,150000.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3049,khác,150000.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3094,lỗi sản phẩm,0.0,True,True,900000.0
OD3001,PR02,3,300000.0,2024-02-05,loa bluetooth,điện tử,OD3085,khác,200000.0,True,True,900000.0
